school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072001-rj51,5,5,31,2,2,30,35,29,6,21,25,30,0,0
4122100-tg300,16,15,22,14,38,6,24,30,17,6,15,6,6,0
4192081-tg281,25,16,16,4,7,12,16,22,16,14,4,12,3,0
4152031-tg231,22,20,19,15,3,4,1,25,10,8,6,15,6,0
3072008-rj58,2,2,1,0,2,2,16,4,18,20,22,41,2,0
4202058-tg258,56,16,8,2,8,2,2,4,8,7,7,4,7,0
3072032-rj82,23,0,29,2,1,0,6,1,22,34,3,0,2,0
3051013-rj13,1,6,35,14,0,21,2,3,3,4,4,11,4,0
3051002-rj2,8,13,2,4,0,6,24,10,11,14,5,5,5,0
3072044-rj94,3,8,12,5,4,15,3,24,0,3,16,1,5,0
3072042-rj92,13,0,31,4,1,1,3,1,33,0,0,0,0,0
3072036-rj86,0,8,4,0,0,1,13,0,20,33,2,0,0,0
4231036-tg136,8,15,21,7,0,3,7,1,3,2,11,2,1,0
3072026-rj76,0,0,20,0,0,8,1,0,27,0,24,0,0,0
3072043-rj93,0,0,21,12,0,4,0,0,31,10,0,0,0,0
4202003-tg203,2,0,3,0,0,2,16,21,18,5,2,6,0,0
1011006-ct6,12,9,0,2,0,4,14,2,15,7,6,2,0,0
1011009-ct9,29,1,25,9,0,2,0,2,0,1,2,1,0,0
3051049-rj49,2,20,7,0,10,4,8,1,0,4,0,14,0,0
3072006-rj56,0,0,0,0,0,2,0,19,0,2,7,36,0,0
3072002-rj52,17,3,1,0,0,1,0,22,2,3,10,1,5,0
4152012-tg212,6,11,2,1,0,1,16,7,3,6,2,2,1,0
3051006-rj6,1,2,6,2,0,10,3,0,21,9,1,1,0,0
4152038-tg238,19,4,18,3,0,1,2,0,1,3,2,1,2,0
3072046-rj96,1,12,0,0,0,0,15,16,1,7,1,1,0,0
3051015-rj15,9,2,1,0,1,1,29,1,2,6,0,0,0,0
2031020-mz20,18,0,18,0,0,0,0,0,0,0,0,14,0,0
3072041-rj91,10,0,0,0,0,7,0,16,1,0,0,15,0,0
3051036-rj36,6,4,0,0,1,2,0,12,17,0,2,5,0,0
3051005-rj5,17,6,3,0,0,0,16,0,0,4,2,0,1,0
2031017-mz17,14,6,0,0,0,0,27,0,0,0,0,0,0,0
3051033-rj33,8,0,7,0,0,0,2,2,17,3,7,0,1,0
1011017-ct17,0,2,0,0,0,1,0,15,0,9,11,8,0,0
3072024-rj74,12,0,2,4,1,19,0,0,0,6,0,0,0,0
3072015-rj65,22,1,2,0,0,0,15,0,0,4,0,0,0,0
1011004-ct4,34,5,0,0,0,0,0,0,2,0,1,0,0,0
3072050-rj100,14,0,11,15,0,0,0,0,0,1,0,1,0,0
3072022-rj72,0,1,0,0,0,16,0,9,2,0,12,1,0,0
3051018-rj18,7,0,12,5,2,4,0,0,4,0,5,2,0,0
3072033-rj83,0,1,0,0,1,2,0,1,16,2,7,4,6,0
3051041-rj41,10,2,0,0,0,0,1,13,0,0,0,10,1,0
3051050-rj50,10,0,12,1,0,2,10,0,0,1,0,0,0,0
4202004-tg204,11,6,1,0,1,1,1,2,0,8,1,4,0,0
3051047-rj47,12,10,0,0,0,0,12,0,0,1,0,0,0,0
3072029-rj79,14,0,0,0,0,0,0,0,0,0,0,20,0,0
3072028-rj78,0,0,6,0,0,9,0,0,0,1,0,17,0,0
3072040-rj90,0,0,0,0,0,16,0,0,0,0,6,11,0,0
3072012-rj62,16,0,0,0,0,0,0,0,0,0,17,0,0,0
3072023-rj73,0,0,0,0,0,0,0,0,25,3,0,3,0,0
3072031-rj81,7,3,0,0,0,0,0,1,16,0,4,0,0,0
