school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051032-rj32,0,2,2,0,0,2,1,0,0,0
3051002-rj2,0,2,0,0,1,0,0,1,0,1
3051014-rj14,0,1,1,0,0,1,0,0,0,0
3051015-rj15,0,1,1,0,0,1,0,0,0,0
3051018-rj18,0,1,1,0,0,1,0,0,0,0
3051007-rj7,0,1,1,0,0,1,0,0,0,0
3072008-rj58,0,0,0,0,1,0,0,2,0,0
3072042-rj92,0,0,0,0,1,0,1,0,0,0
3051023-rj23,0,1,0,0,0,1,0,0,0,0
3072032-rj82,0,0,0,0,2,0,0,0,0,0
3072030-rj80,0,0,0,0,0,0,1,0,0,0
3072033-rj83,0,0,0,0,0,0,0,1,0,0
3051035-rj35,0,0,0,0,1,0,0,0,0,0
3072026-rj76,0,0,0,0,0,0,1,0,0,0
3051036-rj36,0,0,0,0,1,0,0,0,0,0
3051022-rj22,0,0,0,0,0,0,0,1,0,0
3072047-rj97,0,0,0,0,0,0,0,1,0,0
