school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051025-rj25,0.0,0.0,0.0,0.0,2.0,0.0,14.5,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
3072006-rj56,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
3051001-rj1,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.0,0.0
3072049-rj99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3051033-rj33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3072012-rj62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
