school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
1011020-ct20,3,0,4,0,0,0,0,0,0,0,0,0,0,0
1011017-ct17,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011022-ct22,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1011021-ct21,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011007-ct7,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1011019-ct19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011001-ct1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1011011-ct11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011014-ct14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011003-ct3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011018-ct18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011010-ct10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011006-ct6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011005-ct5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011004-ct4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011023-ct23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011024-ct24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011026-ct26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011028-ct28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
