school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
1011019-ct19,0,0,0,0,0,0,14,0,0,0
1011020-ct20,0,0,1,0,2,0,9,0,0,0
1011024-ct24,0,0,0,0,1,0,9,0,0,0
1011011-ct11,0,0,0,0,0,0,6,0,0,0
1011022-ct22,0,0,0,0,0,0,5,0,0,0
1011023-ct23,0,1,0,0,0,0,2,0,0,0
1011001-ct1,0,0,0,0,0,0,1,0,0,0
1011003-ct3,0,0,0,0,0,0,1,0,0,0
1011005-ct5,0,1,0,0,0,0,0,0,0,0
1011006-ct6,0,0,0,0,0,0,0,1,0,0
1011010-ct10,0,1,0,0,0,0,0,0,0,0
1011018-ct18,0,0,0,0,0,0,1,0,0,0
