school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
1011011-ct11,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0
1011014-ct14,0.0,0.0,0.0,0.0,0.0,0.0,32.96666666666667,0.0,0.0,0.0
1011017-ct17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
1011018-ct18,0.0,0.0,0.0,0.0,0.0,0.0,24.80833333333333,0.0,0.0,0.0
1011009-ct9,0.0,0.0,0.0,0.0,0.0,0.0,15.669047619047621,0.0,0.0,0.0
1011004-ct4,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011006-ct6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
1011013-ct13,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0
1011001-ct1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1011016-ct16,0.0,0.0,0.0,0.0,0.0,0.0,1.1833333333333331,0.0,0.0,0.0
