school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
1011001-ct1,0.0,61.0,41.333333333333336,0.0,156.5,38.666666666666664,29.45555555555556,124.0,0.0,0.0
1011018-ct18,0.0,34.0,59.0,0.0,85.5,59.0,6.466666666666667,0.0,0.0,0.0
3051030-rj30,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0
4221067-tg167,43.0,0.0,0.0,3.0,117.75,0.0,0.0,0.0,0.0,0.0
3051026-rj26,0.0,0.0,0.0,0.0,24.0,0.0,0.0,99.0,0.0,0.0
4141008-tg108,0.0,40.0,39.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0
2031005-mz5,0.0,23.0,20.0,0.0,20.0,20.0,3.35,3.0,0.0,0.0
2031009-mz9,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
3051025-rj25,0.0,0.0,0.0,0.0,18.0,0.0,30.21666666666667,0.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333326,0.0,0.0,0.0
3051031-rj31,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
4141012-tg112,0.0,10.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0
1011003-ct3,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,0.0,0.0,0.0
1011026-ct26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
3051001-rj1,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0
3072006-rj56,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1011020-ct20,0.0,0.0,0.0,0.0,0.0,0.0,8.662820512820513,0.0,0.0,0.0
1011019-ct19,0.0,0.0,0.0,0.0,0.0,0.0,7.750000000000002,0.0,0.0,0.0
4221018-tg118,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1011022-ct22,0.0,0.0,0.0,0.0,0.0,0.0,3.5166666666666666,0.0,0.0,0.0
4231036-tg136,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2031021-mz21,0.0,0.0,1.0,0.0,0.0,1.0,0.65,0.0,0.0,0.0
3051006-rj6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2031028-mz28,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3072023-rj73,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4231023-tg123,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4152002-tg202,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3051033-rj33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3072012-rj62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4221068-tg168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051032-rj32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4183023-tg23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152012-tg212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3072049-rj99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3051002-rj2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4231046-tg146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
