school_server_code,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Linear Equations,Proportional Reasoning,Atomic Structure,Sound,Understanding Motion,Basic Astronomy,Health and Disease,Ecosystem,Reflecting on Values,I2c
3072008-rj58,0,0,14,0,0,0,0,1,8,2,13,10,0,0
4152031-tg231,10,0,19,11,1,2,0,3,0,0,0,0,0,0
3072014-rj64,0,0,8,0,0,0,0,11,0,2,8,11,0,0
3072032-rj82,1,0,6,0,0,1,1,12,1,9,1,0,3,0
3072002-rj52,0,0,0,0,0,0,0,2,1,1,10,14,0,0
3072040-rj90,0,0,13,0,0,1,0,0,0,0,13,0,0,0
3072016-rj66,0,0,0,0,0,0,0,0,0,0,0,25,0,0
3072036-rj86,0,0,1,0,0,0,5,0,0,1,0,15,0,0
3051050-rj50,0,0,1,0,0,0,0,0,0,1,6,13,0,0
3072029-rj79,0,0,8,0,0,0,0,0,0,0,4,9,0,0
4122100-tg300,0,3,0,0,4,0,4,2,1,3,0,1,0,0
3051023-rj23,0,0,12,0,1,2,0,0,0,0,3,0,0,0
3072022-rj72,0,0,15,0,0,0,0,0,0,0,3,0,0,0
3051026-rj26,0,0,0,0,10,0,0,0,0,8,0,0,0,0
3051032-rj32,0,0,2,0,13,0,0,0,0,2,0,0,0,0
4152012-tg212,0,0,6,0,8,0,1,0,0,1,0,0,0,0
3072013-rj63,0,0,0,0,0,0,0,1,0,0,8,7,0,0
3072006-rj56,0,0,5,0,0,0,0,0,0,0,11,0,0,0
4202034-tg234,0,1,3,0,1,3,3,4,0,0,0,0,0,0
3072028-rj78,0,0,0,0,0,0,0,0,0,14,0,0,0,0
4173074-tg74,9,4,1,0,0,0,0,0,0,0,0,0,0,0
4202004-tg204,0,0,5,0,8,0,0,0,0,1,0,0,0,0
4231084-tg184,0,0,14,0,0,0,0,0,0,0,0,0,0,0
3072011-rj61,0,0,0,0,0,0,0,0,0,0,0,12,0,0
1011011-ct11,10,0,0,0,0,0,0,0,0,0,0,2,0,0
4141045-tg145,0,0,0,0,0,6,0,0,0,6,0,0,0,0
3072026-rj76,0,0,7,1,4,0,0,0,0,0,0,0,0,0
3072015-rj65,1,0,0,0,0,0,0,0,0,6,0,4,0,0
3051036-rj36,0,0,0,0,0,0,0,0,0,0,11,0,0,0
3051006-rj6,0,0,0,0,0,2,0,0,0,1,2,5,0,0
3051015-rj15,0,0,0,0,1,3,0,0,0,0,4,1,0,0
3072050-rj100,8,0,0,0,0,1,0,0,0,0,0,0,0,0
3051005-rj5,0,0,2,0,4,2,0,0,0,0,0,0,0,0
3051002-rj2,0,0,0,0,4,0,0,0,0,1,0,2,0,0
3051014-rj14,0,0,0,0,0,5,0,0,0,0,2,0,0,0
3051007-rj7,0,0,0,0,1,1,0,0,0,0,2,2,0,0
4141009-tg109,0,0,4,2,0,0,0,0,0,0,0,0,0,0
1011016-ct16,1,0,3,0,1,0,0,0,0,0,0,0,0,0
3072031-rj81,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3072048-rj98,1,0,0,0,4,0,0,0,0,0,0,0,0,0
1011007-ct7,0,0,0,0,0,0,2,0,0,3,0,0,0,0
1011026-ct26,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1011004-ct4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1011005-ct5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4152072-tg272,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1011009-ct9,0,0,0,0,0,0,0,0,0,0,3,0,0,0
3051041-rj41,0,0,1,0,0,0,0,0,0,0,0,2,0,0
4231036-tg136,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4173079-tg79,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4152038-tg238,2,0,0,0,0,0,0,0,0,0,0,0,0,0
