school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
3051036-rj36,0,2,2,0,1,1,0,0,0,2
3051024-rj24,0,2,1,0,0,2,0,0,0,0
3051027-rj27,0,1,0,0,1,0,0,2,0,0
3051006-rj6,0,0,0,0,0,0,0,2,1,1
3051044-rj44,0,0,0,0,0,0,0,2,1,1
3072047-rj97,1,1,0,0,1,0,0,1,0,0
3051031-rj31,0,0,0,0,3,0,0,1,0,0
3072002-rj52,0,0,0,1,1,0,0,1,0,1
3051001-rj1,0,1,0,0,0,1,0,1,0,0
3072024-rj74,0,0,0,0,0,0,2,1,0,0
3072031-rj81,0,1,0,0,0,1,0,1,0,0
3072046-rj96,0,1,1,0,1,0,0,0,0,0
3051010-rj10,0,0,0,0,1,0,0,2,0,0
3051008-rj8,0,0,0,1,1,0,1,0,0,0
3072048-rj98,0,1,1,0,1,0,0,0,0,0
3072023-rj73,0,0,0,0,1,0,2,0,0,0
3072026-rj76,0,0,0,0,1,0,0,1,0,0
3072025-rj75,0,0,0,0,0,0,0,1,0,1
3072050-rj100,0,1,0,0,1,0,0,0,0,0
3051004-rj4,0,0,0,0,0,0,0,2,0,0
3051026-rj26,0,0,0,0,1,0,1,0,0,0
3051032-rj32,0,0,0,0,2,0,0,0,0,0
3051050-rj50,0,0,0,0,0,0,0,1,0,0
3072028-rj78,0,0,0,0,1,0,0,0,0,0
3051011-rj11,0,0,0,0,0,0,0,1,0,0
3051013-rj13,0,0,0,0,0,0,1,0,0,0
3072044-rj94,0,0,0,0,1,0,0,0,0,0
3072043-rj93,0,0,0,0,1,0,0,0,0,0
3072034-rj84,0,0,0,0,1,0,0,0,0,0
3072029-rj79,0,0,0,0,1,0,0,0,0,0
3072027-rj77,0,0,0,0,1,0,0,0,0,0
3051002-rj2,0,0,0,0,0,0,0,1,0,0
3051028-rj28,0,0,0,0,0,0,0,1,0,0
3051047-rj47,0,0,0,0,0,0,1,0,0,0
3051049-rj49,0,0,0,0,0,0,0,0,0,1
3072020-rj70,0,0,0,0,1,0,0,0,0,0
3072018-rj68,0,0,0,0,1,0,0,0,0,0
3072012-rj62,0,1,0,0,0,0,0,0,0,0
3072009-rj59,0,0,1,0,0,0,0,0,0,0
3072008-rj58,0,0,0,0,1,0,0,0,0,0
3072006-rj56,0,0,0,1,0,0,0,0,0,0
