school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
rj73,36.0,60.0,11.0,31.0,23.0,52.0,35.0,1.0,5.0,3.0,33.0,16.0,7.0,3.0,26.0
rj86,57.0,34.0,23.0,1.0,9.0,8.0,8.0,20.0,0.0,0.0,34.0,12.0,0.0,80.0,47.0
rj52,52.0,43.0,10.0,18.0,11.0,28.0,4.0,23.0,1.0,0.0,31.0,14.0,5.0,2.0,6.0
rj76,12.0,20.0,0.0,31.0,1.0,62.0,7.0,24.0,6.0,0.0,16.0,15.0,0.0,0.0,27.0
rj82,31.0,45.0,0.0,27.0,5.0,45.0,4.0,9.0,1.0,1.0,18.0,1.0,7.0,2.0,23.0
rj92,40.0,1.0,1.0,49.0,8.0,44.0,5.0,0.0,1.0,1.0,23.0,2.0,1.0,1.0,33.0
rj80,57.0,6.0,6.0,39.0,12.0,8.0,3.0,14.0,1.0,0.0,10.0,2.0,0.0,1.0,45.0
rj33,33.0,16.0,4.0,26.0,7.0,8.0,3.0,29.0,3.0,1.0,30.0,5.0,6.0,5.0,19.0
rj94,14.0,15.0,3.0,4.0,14.0,25.0,2.0,30.0,4.0,0.0,2.0,28.0,8.0,39.0,7.0
rj13,17.0,4.0,11.0,10.0,6.0,36.0,20.0,4.0,0.0,2.0,50.0,21.0,4.0,3.0,3.0
rj26,12.0,17.0,5.0,24.0,23.0,10.0,16.0,11.0,1.0,3.0,18.0,22.0,10.0,9.0,8.0
rj74,0.0,37.0,0.0,49.0,2.0,42.0,11.0,0.0,1.0,0.0,19.0,24.0,0.0,0.0,0.0
rj93,25.0,10.0,0.0,31.0,3.0,36.0,12.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,31.0
rj65,32.0,19.0,0.0,23.0,11.0,16.0,2.0,18.0,1.0,0.0,22.0,3.0,1.0,22.0,3.0
rj100,30.0,15.0,16.0,1.0,3.0,24.0,17.0,0.0,6.0,2.0,16.0,10.0,1.0,13.0,19.0
rj75,19.0,26.0,10.0,12.0,10.0,18.0,2.0,8.0,2.0,3.0,14.0,4.0,11.0,7.0,8.0
rj49,18.0,29.0,17.0,8.0,20.0,13.0,5.0,3.0,12.0,1.0,13.0,7.0,0.0,1.0,1.0
rj78,20.0,7.0,17.0,1.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,49.0,1.0,0.0,1.0
rj2,31.0,29.0,6.0,11.0,13.0,2.0,3.0,5.0,0.0,0.0,1.0,6.0,5.0,10.0,12.0
rj25,4.0,14.0,2.0,13.0,1.0,23.0,32.0,2.0,2.0,0.0,18.0,18.0,0.0,1.0,0.0
rj31,18.0,16.0,3.0,4.0,8.0,6.0,8.0,2.0,1.0,4.0,22.0,22.0,3.0,1.0,4.0
rj6,38.0,40.0,3.0,2.0,1.0,9.0,3.0,4.0,0.0,1.0,2.0,1.0,3.0,0.0,12.0
rj58,39.0,0.0,3.0,2.0,0.0,0.0,0.0,45.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0
rj4,5.0,15.0,0.0,31.0,10.0,12.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,22.0
rj27,12.0,19.0,7.0,8.0,2.0,15.0,6.0,3.0,2.0,0.0,13.0,7.0,2.0,1.0,6.0
rj81,2.0,3.0,1.0,11.0,4.0,0.0,0.0,11.0,14.0,0.0,8.0,0.0,1.0,2.0,30.0
rj22,1.0,10.0,0.0,10.0,6.0,11.0,11.0,5.0,5.0,0.0,2.0,0.0,3.0,3.0,14.0
rj15,25.0,22.0,0.0,13.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0
rj10,3.0,2.0,3.0,7.0,5.0,7.0,8.0,3.0,7.0,0.0,16.0,4.0,2.0,6.0,2.0
rj91,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,16.0,1.0
rj62,16.0,1.0,0.0,17.0,1.0,0.0,0.0,17.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0
rj84,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0
rj47,12.0,1.0,0.0,20.0,10.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rj79,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
rj72,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,16.0,0.0,9.0,2.0
rj64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
rj18,0.0,1.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0
rj44,0.0,8.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
rj85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
rj41,2.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0
rj1,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
rj36,0.0,11.0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0
rj32,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
rj45,0.0,0.0,0.0,0.0,1.0,10.0,6.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0
rj53,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
rj63,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
rj23,0.0,4.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
rj28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
