school_server_code,ice,factorisation,coins_puzzle,rationpatterns,food_sharing_tool,ages_puzzle,policesquad,astroamer_element_hunt_activity,astroamer_moon_track,astroamer_planet_trek_activity
2031008-mz8,0.0,0.0,0.0,0.0,6.0,0.0,12.0,3.0,0.0,0.0
2031014-mz14,0.0,0.0,0.0,0.0,0.0,0.0,18.939903846153847,0.0,0.0,0.0
2031011-mz11,0.9375,0.0,0.0,0.0,0.0,0.0,16.96875,0.0,0.0,0.0
2031030-mz30,0.0,0.0,0.2204724409448819,0.0,0.2204724409448819,0.2204724409448819,11.12007874015748,0.0,0.0,0.0
2031016-mz16,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
2031027-mz27,0.0,0.0,0.0,0.0,0.0,0.0,8.28,0.0,0.0,0.0
2031005-mz5,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
2031017-mz17,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2031004-mz4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2031007-mz7,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1.0,0.0,0.0,0.0
2031028-mz28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
